"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 12 16:35:58 GMT 2025","Wed Feb 12 16:35:59 GMT 2025","1300","tests.authentication","test_registration","TestRegistration","","","Registration with correct email, username and password",""
"passed","Wed Feb 12 16:35:52 GMT 2025","Wed Feb 12 16:35:55 GMT 2025","2607","tests.authentication","test_authorization","TestAuthorization","","","User login with correct email and password",""
"passed","Wed Feb 12 16:35:59 GMT 2025","Wed Feb 12 16:36:00 GMT 2025","954","tests.courses","test_courses","TestCourses","","","Check displaying of empty courses list",""
"passed","Wed Feb 12 16:35:56 GMT 2025","Wed Feb 12 16:35:58 GMT 2025","1771","tests.authentication","test_authorization","TestAuthorization","","","User login with wrong email or password",""
"passed","Wed Feb 12 16:36:00 GMT 2025","Wed Feb 12 16:36:02 GMT 2025","1921","tests.courses","test_courses","TestCourses","","","Create course",""
"passed","Wed Feb 12 16:36:01 GMT 2025","Wed Feb 12 16:36:02 GMT 2025","1272","tests.dashboard","test_dashboard","TestDashboard","","","Check displaying of dashboard page",""
"passed","Wed Feb 12 16:35:56 GMT 2025","Wed Feb 12 16:35:57 GMT 2025","1635","tests.authentication","test_authorization","TestAuthorization","","","Navigation from login page to registration page",""
"passed","Wed Feb 12 16:35:54 GMT 2025","Wed Feb 12 16:35:55 GMT 2025","1147","tests.authentication","test_authorization","TestAuthorization","","","User login with wrong email or password",""
"passed","Wed Feb 12 16:35:52 GMT 2025","Wed Feb 12 16:35:53 GMT 2025","1244","tests.authentication","test_authorization","TestAuthorization","","","User login with wrong email or password",""
