"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 12 15:46:59 GMT 2025","Wed Feb 12 15:47:01 GMT 2025","1984","tests.courses","test_courses","TestCourses","","","Create course",""
"passed","Wed Feb 12 15:46:50 GMT 2025","Wed Feb 12 15:46:54 GMT 2025","3520","tests.authentication","test_authorization","TestAuthorization","","","User login with correct email and password",""
"passed","Wed Feb 12 15:46:59 GMT 2025","Wed Feb 12 15:47:00 GMT 2025","1186","tests.dashboard","test_dashboard","TestDashboard","","","Check displaying of dashboard page",""
"passed","Wed Feb 12 15:46:52 GMT 2025","Wed Feb 12 15:46:54 GMT 2025","1251","tests.authentication","test_authorization","TestAuthorization","","","User login with wrong email or password",""
"passed","Wed Feb 12 15:47:01 GMT 2025","Wed Feb 12 15:47:01 GMT 2025","0","tests.pytest","test_markers","","","","test_critical_login",""
"passed","Wed Feb 12 15:47:01 GMT 2025","Wed Feb 12 15:47:01 GMT 2025","0","tests.pytest","test_markers","TestUserInterface","","","test_forgot_password_link",""
"passed","Wed Feb 12 15:47:01 GMT 2025","Wed Feb 12 15:47:01 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_logout",""
"passed","Wed Feb 12 15:46:55 GMT 2025","Wed Feb 12 15:46:56 GMT 2025","1315","tests.authentication","test_authorization","TestAuthorization","","","User login with wrong email or password",""
"passed","Wed Feb 12 15:47:01 GMT 2025","Wed Feb 12 15:47:01 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_password_reset",""
"passed","Wed Feb 12 15:47:01 GMT 2025","Wed Feb 12 15:47:01 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_login",""
"passed","Wed Feb 12 15:46:50 GMT 2025","Wed Feb 12 15:46:52 GMT 2025","1519","tests.authentication","test_authorization","TestAuthorization","","","User login with wrong email or password",""
"passed","Wed Feb 12 15:46:55 GMT 2025","Wed Feb 12 15:46:56 GMT 2025","1201","tests.authentication","test_authorization","TestAuthorization","","","Navigation from login page to registration page",""
"passed","Wed Feb 12 15:46:58 GMT 2025","Wed Feb 12 15:46:59 GMT 2025","1057","tests.courses","test_courses","TestCourses","","","Check displaying of empty courses list",""
"passed","Wed Feb 12 15:47:01 GMT 2025","Wed Feb 12 15:47:01 GMT 2025","0","tests.pytest","test_markers","","","","test_regression_case",""
"passed","Wed Feb 12 15:46:56 GMT 2025","Wed Feb 12 15:46:58 GMT 2025","1579","tests.authentication","test_registration","TestRegistration","","","Registration with correct email, username and password",""
